reportDay,custDate,popTot,popDtn,popSat,popHoused,popOthTot,popOthEHD,popOthOther,popOthSCRAM,custSent,custUnsent,custEndSent,pctSent,appts,apTraffic,apBond,apArraign,apSentencing,apOther,apMedical,transfers,transM,transF,transJuv,bookDate,bookings,releases
Friday,7/8/2016,203,48,136,184,19,17,1,1,20,164,3,10.9,20,0,0,12,0,8,0,0,0,0,0,7/7/2016,18,13
Sunday,7/10/2016,203,48,137,185,18,16,1,1,19,166,0,10.3,7,0,7,0,0,0,0,0,0,0,0,7/9/2016,13,13
Friday,9/9/2016,204,47,133,180,24,20,2,2,21,159,0,11.7,22,0,0,11,0,8,3,0,0,0,0,9/8/2016,18,26
Saturday,9/10/2016,212,47,141,188,24,20,2,2,24,164,1,12.8,11,0,10,1,0,0,0,0,0,0,0,9/9/2016,14,7
Sunday,9/11/2016,218,47,147,194,24,20,2,2,24,170,1,12.4,9,0,9,0,0,0,0,0,0,0,0,9/10/2016,10,7
Monday,9/12/2016,216,49,143,192,24,20,2,2,23,169,3,12,60,0,1,16,1,41,1,0,0,0,0,9/11/2016,11,10
Tuesday,9/13/2016,211,49,139,188,23,19,2,2,29,159,2,15.4,24,0,0,4,1,19,0,0,0,0,0,9/12/2016,10,16
Wednesday,9/14/2016,211,49,138,187,24,20,2,2,30,157,3,16,16,0,0,6,2,7,1,0,0,0,0,9/13/2016,16,14
Thursday,9/15/2016,202,48,127,175,27,23,2,2,19,156,3,10.9,29,0,0,7,0,21,1,17,17,0,0,9/14/2016,15,9
Friday,9/16/2016,197,51,120,171,26,22,2,2,15,156,1,8.8,22,0,0,8,0,13,1,2,0,2,0,9/15/2016,16,34
Saturday,9/17/2016,200,53,122,175,25,21,2,2,15,160,1,8.6,8,0,6,2,0,0,0,0,0,0,0,9/16/2016,15,14
Saturday,9/17/2016,200,53,122,175,25,21,2,2,15,160,1,8.6,8,0,6,2,0,0,0,0,0,0,0,9/16/2016,15,14
Monday,9/19/2016,200,52,124,176,24,20,2,2,15,161,1,8.5,45,2,0,9,0,34,0,0,0,0,0,9/18/2016,11,11
Tuesday,9/20/2016,204,48,133,181,23,20,2,1,15,166,1,8.3,17,0,0,6,0,11,0,0,0,0,0,9/19/2016,21,19
Wednesday,9/21/2016,201,49,129,178,23,20,2,1,15,163,1,8.4,13,0,0,5,0,7,1,0,0,0,0,9/20/2016,11,12
Friday,9/23/2016,210,46,144,190,20,17,2,1,17,173,2,8.9,19,0,0,13,1,4,1,0,0,0,0,9/22/2016,19,26
Saturday,9/24/2016,209,49,141,190,19,16,2,1,17,173,0,8.9,4,0,4,0,0,0,0,0,0,0,0,9/23/2016,11,13
Saturday,9/24/2016,209,49,141,190,19,16,2,1,17,173,0,8.9,4,0,4,0,0,0,0,0,0,0,0,9/23/2016,11,13
Monday,9/26/2016,216,46,151,197,19,16,2,1,16,181,1,8.1,61,2,0,17,1,41,0,0,0,0,0,9/25/2016,8,7
Tuesday,9/27/2016,214,48,147,195,19,16,2,1,17,178,0,8.7,41,0,0,11,1,29,0,0,0,0,0,9/26/2016,17,20
Wednesday,9/28/2016,219,49,151,200,19,16,2,1,18,182,4,9,43,2,0,10,1,30,0,0,0,0,0,9/27/2016,14,9
Thursday,9/29/2016,189,45,125,170,19,16,2,1,11,159,1,6.5,13,0,0,4,1,6,2,11,11,0,0,9/28/2016,10,24
Friday,9/30/2016,193,45,129,174,19,16,2,1,11,163,2,6.3,20,1,0,7,1,8,3,0,0,0,0,9/29/2016,11,21
Saturday,10/1/2016,192,47,127,174,18,15,2,1,11,163,0,6.3,5,0,5,0,0,0,0,0,0,0,0,9/30/2016,11,0
Sunday,10/2/2016,193,48,127,175,18,15,2,1,10,165,2,5.7,7,1,4,2,0,0,0,0,0,0,0,10/1/2016,13,12
Monday,10/3/2016,193,48,128,176,17,14,2,1,10,166,1,5.7,66,0,0,11,3,52,0,0,0,0,0,10/2/2016,13,10
Tuesday,10/4/2016,191,49,125,174,17,14,2,1,10,164,0,5.7,59,0,1,5,1,52,0,0,0,0,0,10/3/2016,15,19
Wednesday,10/5/2016,192,49,124,173,19,16,2,1,9,164,2,5.2,31,1,0,9,1,20,0,0,0,0,0,10/4/2016,16,15
Thursday,10/6/2016,183,40,122,162,21,18,2,1,9,153,1,5.6,17,0,0,9,1,7,0,13,13,0,0,10/5/2016,16,13
Friday,10/7/2016,188,39,128,167,21,18,2,1,8,159,1,4.8,12,0,0,12,0,0,0,0,0,0,0,10/6/2016,22,29
Saturday,10/8/2016,180,39,121,160,20,17,2,1,8,152,0,5,2,0,2,0,0,0,0,0,0,0,0,10/7/2016,11,18
Sunday,10/9/2016,186,40,126,166,20,17,2,1,8,158,0,4.8,7,0,7,0,0,0,0,0,0,0,0,10/8/2016,11,7
Monday,10/10/2016,185,40,125,165,20,17,2,1,8,157,0,4.8,5,0,5,0,0,0,0,0,0,0,0,10/9/2016,11,10
Tuesday,10/11/2016,189,40,129,169,20,17,2,1,8,161,0,4.7,45,0,0,16,0,29,0,0,0,0,0,10/10/2016,15,12
Wednesday,10/12/2016,195,38,135,173,22,19,2,1,11,162,5,6.4,41,0,0,10,1,30,0,0,0,0,0,10/11/2016,15,11
Thursday,10/13/2016,185,39,126,165,20,17,2,1,10,155,2,6.1,21,0,0,8,0,13,0,2,2,0,0,10/12/2016,19,25
Friday,10/14/2016,184,38,128,166,18,15,2,1,10,156,2,6,18,0,0,8,0,10,0,0,0,0,0,10/13/2016,18,19
Saturday,10/15/2016,182,38,127,165,17,14,2,1,9,156,0,5.5,6,0,6,0,0,0,0,0,0,0,0,10/14/2016,9,12
Saturday,10/15/2016,182,38,127,165,17,14,2,1,9,156,0,5.5,6,0,6,0,0,0,0,0,0,0,0,10/14/2016,9,12
Monday,10/17/2016,193,39,137,176,17,14,2,1,9,167,0,5.1,38,0,0,17,0,21,0,0,0,0,0,10/16/2016,9,4
Tuesday,10/18/2016,193,39,137,176,17,14,2,1,11,165,2,6.2,19,1,0,9,0,9,0,0,0,0,0,10/17/2016,21,20
Wednesday,10/19/2016,189,40,131,171,18,15,2,1,9,162,1,5.3,10,0,0,3,0,7,0,0,0,0,0,10/18/2016,12,14
Thursday,10/20/2016,186,44,124,168,18,15,2,1,7,161,0,4.2,12,0,0,6,0,6,0,3,3,0,0,10/19/2016,8,10
Friday,10/21/2016,187,44,125,169,18,15,2,1,8,161,1,4.7,18,1,0,3,0,12,2,0,0,0,0,10/20/2016,15,19
Saturday,10/22/2016,195,44,133,177,18,15,2,1,8,169,2,4.5,13,0,13,0,0,0,0,0,0,0,0,10/21/2016,18,13
Sunday,10/23/2016,204,43,143,186,18,15,2,1,8,178,2,4.3,17,0,16,1,0,0,0,0,0,0,0,10/22/2016,17,9
Monday,10/24/2016,200,43,139,182,18,15,2,1,6,176,0,3.3,47,0,0,18,0,29,0,0,0,0,0,10/23/2016,20,19
Tuesday,10/25/2016,203,41,144,185,18,15,2,1,9,176,0,4.9,48,0,0,13,2,33,0,0,0,0,0,10/24/2016,28,23
Wednesday,10/26/2016,199,42,138,180,19,16,2,1,13,167,1,7.2,26,0,0,8,0,18,0,0,0,0,0,10/25/2016,9,15
Thursday,10/27/2016,186,44,122,166,20,17,2,1,9,157,2,5.4,3,0,0,2,0,1,0,8,8,0,0,10/26/2016,15,17
Friday,10/28/2016,185,47,118,165,20,17,2,1,8,157,1,4.8,20,0,0,4,0,15,1,1,0,1,0,10/27/2016,17,26
Saturday,10/29/2016,188,46,122,168,20,17,2,1,8,160,1,4.8,9,1,8,0,0,0,0,0,0,0,0,10/28/2016,9,11
Sunday,10/30/2016,181,46,115,161,20,17,2,1,8,153,0,5,3,0,3,0,0,0,0,0,0,0,0,10/29/2016,13,17
Monday,10/31/2016,187,48,119,167,20,17,2,1,8,159,0,4.8,23,0,0,8,3,12,0,0,0,0,0,10/30/2016,10,5
Tuesday,11/1/2016,190,48,122,170,20,17,2,1,13,157,1,7.6,87,1,0,11,2,73,0,0,0,0,0,10/31/2016,20,0
Wednesday,11/2/2016,197,47,127,174,23,20,2,1,13,161,0,7.5,32,0,0,15,0,16,1,0,0,0,0,11/1/2016,26,16
Thursday,11/3/2016,186,46,117,163,23,20,2,1,8,155,2,4.9,14,1,0,8,0,4,1,7,7,0,0,11/2/2016,12,17
Friday,11/4/2016,186,54,110,164,22,19,2,1,8,156,1,4.9,14,1,0,7,0,3,3,0,0,0,0,11/3/2016,18,23
Saturday,11/5/2016,184,54,108,162,22,19,2,1,8,154,1,4.9,5,0,4,1,0,0,0,0,0,0,0,11/4/2016,10,12
